average_farm_price_per_tonne,average_yield_kg_per_hectare,total_production_tonnes,seeded_area_acres,seeded_area_hectares,total_farm_value_dollars,soil_type,irrigation_used,avg_rainfall_mm,avg_temperature_c,pesticide_use_level,organic_farming,farm_size_category
312,3080,1670.72,1340.4,542.44,521264.64,Peaty,Yes,351.84,20.34,Medium,Yes,Large
416,1461,280.99,475.26,192.33,116891.84,Clay,Yes,429.78,11.69,Medium,Yes,Large
520,2463,606.1,608.08,246.08,315172,Clay,Yes,306.9,1.4,Medium,Yes,Large
176.8,2300,1537.78,1652.14,668.6,271879.5,Sandy,Yes,444.92,15.69,Medium,Yes,Large
416,1852,516.78,689.52,279.04,214980.48,Silty,Yes,341.92,14.75,Medium,Yes,Small
260,3554,635.81,442.07,178.9,165310.6,Sandy,No,566.2,13.54,Medium,Yes,Large
312,3259,1749.79,1326.73,536.91,545934.48,Clay,No,471.85,9.92,Medium,No,Large
197.6,4685,1286.03,678.3,274.5,254119.53,Loamy,Yes,398.34,10.07,Low,Yes,Small
166.4,1930,824.65,1055.83,427.28,137221.76,Loamy,Yes,311.76,11.29,Medium,No,Small
260,3659,1495.43,1009.92,408.7,388811.8,Loamy,No,326,9.67,Low,No,Small
260,3934,3098.03,1945.95,787.5,805487.8,Clay,No,344.66,13.9,Medium,No,Medium
156,2261,2165.07,2366.2,957.57,337750.92,Sandy,No,443.58,13.64,Medium,No,Large
208,3005,2773.07,2280.33,922.82,576798.56,Silty,No,314.19,16.84,High,Yes,Large
312,2835,2206.85,1923.54,778.43,688537.2,Sandy,No,463.1,9.82,Medium,Yes,Large
260,4015,3447.2,2121.59,858.58,896272,Loamy,No,445.46,9.44,Medium,Yes,Small
197.6,4607,2168.47,1163.1,470.69,428489.67,Sandy,No,363.2,12.07,Low,Yes,Medium
197.6,3778,572.52,374.46,151.54,113129.95,Loamy,Yes,414.92,11.23,Medium,Yes,Large
197.6,3090,1986.13,1588.29,642.76,392459.29,Clay,Yes,443.96,6.59,Low,No,Medium
312,3632,1162.09,790.64,319.96,362572.08,Peaty,Yes,460.43,10.03,Low,No,Medium
260,3271,1475.06,1114.32,450.95,383515.6,Loamy,Yes,533.96,10.81,Medium,No,Small
156,1720,1054.98,1515.64,613.36,164576.88,Loamy,Yes,384.81,14.9,High,No,Medium
156,1696,1142.82,1665.07,673.83,178279.92,Sandy,Yes,310.17,13.63,Medium,No,Medium
416,1391,920.55,1635.32,661.79,382948.8,Clay,No,394.66,6.25,Medium,No,Large
197.6,2976,2200.22,1826.9,739.32,434763.47,Silty,No,431.52,7.23,Medium,Yes,Small
260,4701,3965.25,2084.31,843.49,1030965,Silty,Yes,422.08,13.79,High,No,Medium
187.2,3456,330.05,235.99,95.5,61785.36,Loamy,Yes,579.02,7.32,Medium,Yes,Medium
520,3204,1802.47,1390.14,562.57,937284.4,Clay,No,351.79,10.67,High,No,Medium
197.6,4471,2772.6,1532.37,620.13,547865.76,Sandy,No,487.92,12.67,Medium,Yes,Large
197.6,4572,1950.78,1054.35,426.68,385474.13,Clay,Yes,572.05,14.05,Low,No,Medium
312,2926,503.15,424.92,171.96,156982.8,Loamy,Yes,418.13,15.76,Low,Yes,Medium
176.8,2279,1792,1943.01,786.31,316825.6,Sandy,No,359.75,8.32,Low,Yes,Medium
156,2050,1548.51,1866.56,755.37,241567.56,Peaty,No,314.78,9.25,High,No,Large
197.6,3238,1474.07,1124.92,455.24,291276.23,Loamy,No,550.2,12.22,Medium,Yes,Medium
260,4632,2306.74,1230.58,498,599752.4,Loamy,Yes,437.97,9.83,High,No,Medium
156,2225,435.88,484.08,195.9,67997.28,Clay,No,408.79,11.48,Low,Yes,Small
520,3820,2685.27,1737.02,702.95,1396340.4,Peaty,No,338.97,9.75,Low,No,Medium
166.4,1531,998.03,1610.83,651.88,166072.19,Loamy,Yes,434.27,13.83,High,No,Large
156,1824,140.78,190.72,77.18,21961.68,Loamy,No,538.15,16.22,Low,Yes,Medium
197.6,3021,1459.87,1194.11,483.24,288470.31,Silty,Yes,263.72,9.36,Medium,Yes,Medium
187.2,4147,2411.02,1436.64,581.39,451342.94,Loamy,No,495.18,8.03,Medium,Yes,Medium
312,1897,171.56,223.48,90.44,53526.72,Clay,No,119.14,11.21,High,No,Medium
208,2423,1058.61,1079.6,436.9,220190.88,Loamy,Yes,440.28,6.16,Medium,No,Medium
520,2216,2106.2,2348.61,950.45,1095224,Loamy,Yes,279.57,10.77,High,No,Small
312,2661,2031.51,1886.5,763.44,633831.12,Sandy,No,354.55,16.35,Low,No,Medium
187.2,3335,2562.25,1898.48,768.29,479653.2,Loamy,Yes,205.55,8.85,Medium,Yes,Small
187.2,5827,1492.82,633.06,256.19,279455.9,Silty,No,327.14,14.01,Low,No,Small
208,2490,2071.43,2055.67,831.9,430857.44,Silty,No,430.61,17.24,High,No,Medium
416,1481,565.98,944.34,382.16,235447.68,Clay,No,409.29,10.32,Low,Yes,Large
187.2,4509,3586.73,1965.62,795.46,671435.86,Sandy,No,483.72,7.8,Low,No,Large
176.8,2514,360.56,354.4,143.42,63747.01,Silty,No,527.04,12.22,Low,No,Small
187.2,4328,1802.27,1028.99,416.42,337384.94,Peaty,No,319.96,13.39,Low,No,Large
260,3295,1837.13,1377.73,557.55,477653.8,Sandy,No,410.08,15.96,High,Yes,Medium
260,3475,1538.1,1093.74,442.62,399906,Clay,Yes,310.54,11.7,High,No,Small
208,2160,328.62,375.95,152.14,68352.96,Clay,Yes,352.78,6.5,Medium,Yes,Large
166.4,1615,92.72,141.86,57.41,15428.61,Loamy,Yes,329.89,8.78,Medium,Yes,Medium
187.2,4495,3535.86,1943.78,786.62,661912.99,Sandy,No,376.18,8.86,Medium,No,Small
260,4536,1327.01,722.91,292.55,345022.6,Loamy,No,519.58,11.7,High,No,Medium
520,2850,790.79,685.64,277.47,411210.8,Clay,No,254.79,15.43,Low,Yes,Small
156,1852,201.02,268.21,108.54,31359.12,Peaty,Yes,353.88,16.76,High,No,Large
208,3348,2540.4,1874.98,758.78,528403.2,Sandy,No,537.48,14.24,Low,Yes,Small
197.6,3817,3814.14,2469.2,999.25,753674.06,Sandy,Yes,319.71,11.09,High,No,Medium
208,3179,1287.08,1000.45,404.87,267712.64,Peaty,Yes,474.25,13.08,Medium,No,Small
176.8,2043,1676.83,2028.16,820.77,296463.54,Peaty,No,256.62,18.43,Medium,Yes,Medium
520,3036,778.67,633.77,256.48,404908.4,Peaty,Yes,395.87,12.49,Medium,No,Small
187.2,4201,1545.63,909.15,367.92,289341.94,Loamy,Yes,523.09,15.93,Medium,Yes,Small
260,2252,1443.94,1584.39,641.18,375424.4,Peaty,No,293.8,14.62,Medium,No,Small
166.4,1674,1396.05,2060.76,833.96,232302.72,Loamy,No,466.36,11.87,Low,Yes,Large
176.8,2696,377.71,346.19,140.1,66779.13,Clay,No,401.43,10.34,Medium,No,Medium
166.4,1199,1058.84,2182.18,883.1,176190.98,Loamy,Yes,253.4,9.93,Medium,No,Large
156,2267,2168.73,2363.93,956.65,338321.88,Silty,No,364.98,15.34,Medium,No,Medium
197.6,2852,431.08,373.5,151.15,85181.41,Silty,Yes,192.88,10.67,High,No,Medium
520,3331,2138.24,1586.22,641.92,1111884.8,Clay,Yes,470.52,10.53,Medium,No,Large
156,1989,1500.46,1864.11,754.38,234071.76,Peaty,No,447.9,15.98,Low,No,Medium
156,2248,441.57,485.39,196.43,68884.92,Sandy,No,341.44,14.81,Medium,No,Medium
166.4,1496,395.9,653.94,264.64,65877.76,Loamy,No,493.38,11.03,Medium,No,Medium
208,2876,1002.17,861.06,348.46,208451.36,Peaty,Yes,509.11,10.9,Medium,Yes,Large
520,4011,1440.43,887.4,359.12,749023.6,Loamy,No,363.87,14.89,Medium,No,Small
166.4,1915,105.15,135.69,54.91,17496.96,Loamy,No,337.11,19.37,Low,No,Medium
312,1841,1705.02,2288.54,926.14,531966.24,Peaty,No,203.12,10.71,Low,No,Medium
416,1454,1348.96,2292.54,927.76,561167.36,Clay,No,446.99,17.1,Medium,No,Large
260,4525,3664.8,2001.3,809.9,952848,Clay,Yes,424.05,8.88,Medium,No,Medium
416,2023,773.23,944.48,382.22,321663.68,Clay,Yes,368.82,10.01,Low,No,Large
260,3904,3798.55,2404.31,972.99,987623,Silty,Yes,354.31,16.07,Low,Yes,Small
166.4,1691,102.95,150.44,60.88,17130.88,Silty,No,394.89,13.26,Low,Yes,Large
197.6,3808,2777.21,1802.16,729.31,548776.7,Sandy,Yes,521.39,14.1,Medium,No,Small
260,4340,447.84,254.99,103.19,116438.4,Loamy,Yes,357.77,8.37,Medium,No,Large
312,2956,1867.78,1561.36,631.86,582747.36,Loamy,No,378.96,14,Medium,No,Medium
208,2610,2488.66,2356.17,953.51,517641.28,Clay,Yes,336.51,12.28,Medium,No,Small
416,2051,600.1,723,292.59,249641.6,Silty,Yes,509.77,18.97,High,No,Large
176.8,2331,1159.63,1229.3,497.48,205022.58,Silty,Yes,452.7,9.84,Medium,No,Large
520,3784,3614.82,2360.57,955.29,1879706.4,Peaty,No,405.02,12.7,Low,No,Medium
176.8,2018,1609.62,1970.98,797.63,284580.82,Loamy,Yes,266.93,13.54,Low,No,Medium
312,3398,1395.8,1015.03,410.77,435489.6,Loamy,Yes,519.32,10.78,High,No,Large
520,3752,2034.56,1339.95,542.26,1057971.2,Sandy,Yes,512.8,15.93,Low,Yes,Large
208,3083,1446.14,1159.1,469.07,300797.12,Silty,Yes,483.72,16.5,Low,No,Medium
416,2114,448.82,524.63,212.31,186709.12,Clay,No,497.58,9.95,Medium,No,Small
166.4,1473,1392.49,2335.98,945.34,231710.34,Silty,No,330.52,15.74,Low,No,Large
176.8,2662,430.26,399.4,161.63,76069.97,Clay,Yes,473.23,15.38,Low,No,Medium
312,3059,235.54,190.27,77,73488.48,Clay,Yes,365.06,11.69,Low,No,Small
416,2035,1741.98,2115.24,856.01,724663.68,Loamy,Yes,419.91,13.86,Medium,Yes,Small
187.2,5009,1885.14,929.98,376.35,352898.21,Sandy,Yes,458.57,8.1,Medium,No,Large
187.2,5150,4661.27,2236.55,905.1,872589.74,Silty,Yes,452.34,9.86,Low,No,Small
197.6,3348,2545.08,1878.44,760.18,502907.81,Clay,No,538.26,11.82,Medium,No,Medium
208,3046,2856.48,2317.3,937.78,594147.84,Loamy,No,422.87,12.02,Medium,Yes,Large
208,3235,1530.8,1169.3,473.2,318406.4,Clay,No,342.24,12.54,Low,Yes,Medium
197.6,3373,1600.25,1172.34,474.43,316209.4,Loamy,No,468.98,15.3,Medium,Yes,Small
166.4,2148,1612.98,1855.56,750.92,268399.87,Sandy,Yes,394.55,10.03,Medium,Yes,Small
260,3794,2820.69,1837.13,743.46,733379.4,Clay,Yes,304.74,15.34,Low,No,Large
176.8,2499,1531.39,1514.26,612.8,270749.75,Sandy,Yes,476.39,11.95,Medium,Yes,Medium
312,3706,2453.59,1635.98,662.06,765520.08,Clay,No,416.4,11.88,High,Yes,Medium
208,2447,352.15,355.61,143.91,73247.2,Silty,No,544.16,13.84,High,No,Small
187.2,3328,1867.17,1386.38,561.05,349534.22,Peaty,Yes,330.38,4.78,High,Yes,Medium
416,1547,753.14,1203.01,486.84,313306.24,Clay,No,405.01,12.19,Low,Yes,Large
187.2,5495,5099.25,2293.08,927.98,954579.6,Peaty,No,464.47,14.51,Medium,No,Small
260,3020,1595.86,1305.78,528.43,414923.6,Silty,Yes,271.67,13.31,Medium,Yes,Medium
520,3516,1869.49,1313.88,531.71,972134.8,Loamy,No,536.09,16.62,Medium,Yes,Medium
197.6,4134,3675.37,2196.91,889.06,726253.11,Clay,Yes,647.13,14.01,Medium,Yes,Small
416,2067,1552.03,1855.41,750.86,645644.48,Silty,Yes,416.71,16.18,Low,Yes,Small
156,2032,1535.91,1867.77,755.86,239601.96,Silty,Yes,358.92,10.81,Low,Yes,Small
208,2625,1401.67,1319.47,533.97,291547.36,Peaty,Yes,507.94,5.72,Low,Yes,Large
416,1379,523.95,938.88,379.95,217963.2,Clay,Yes,199.77,12.25,Medium,No,Small
416,1445,719.99,1231.23,498.26,299515.84,Loamy,No,548.01,15.73,High,No,Large
312,2620,2600.25,2452.42,992.46,811278,Peaty,Yes,236.81,11.48,Medium,Yes,Large
260,3355,2719.7,2003.13,810.64,707122,Clay,No,244.63,17.68,Medium,Yes,Large
520,3201,606.01,467.82,189.32,315125.2,Sandy,No,454.19,12.97,Medium,No,Medium
416,1823,311.35,422.03,170.79,129521.6,Peaty,No,368.7,17.7,High,Yes,Large
312,3747,898.19,592.34,239.71,280235.28,Clay,Yes,494.38,9.93,Medium,No,Large
520,3431,2814.35,2026.93,820.27,1463462,Silty,Yes,342.14,9.64,Medium,Yes,Small
208,2030,826.92,1006.58,407.35,171999.36,Peaty,Yes,406.08,7.19,Medium,No,Medium
260,3812,3662.57,2374.18,960.8,952268.2,Sandy,Yes,449.95,7.87,High,Yes,Medium
166.4,1877,1145.44,1507.96,610.25,190601.22,Silty,Yes,505.42,13.8,Low,Yes,Medium
520,2908,2289.73,1945.68,787.39,1190659.6,Loamy,Yes,383.54,12.92,Low,Yes,Large
312,3070,1381.22,1111.75,449.91,430940.64,Clay,No,473.81,11.68,Medium,Yes,Medium
260,3672,661.22,444.96,180.07,171917.2,Clay,Yes,444.34,14.97,Low,Yes,Large
187.2,5720,1183.7,511.36,206.94,221588.64,Peaty,Yes,590.54,8.68,Medium,Yes,Medium
176.8,2539,1473.46,1434.02,580.33,260507.73,Clay,No,416.38,18.68,Medium,Yes,Medium
156,1393,979.22,1737.05,702.96,152758.32,Peaty,Yes,448.49,7.45,High,No,Medium
176.8,2488,808.13,802.62,324.81,142877.38,Clay,No,457.89,11.88,Low,Yes,Medium
208,1806,1001.1,1369.75,554.32,208228.8,Silty,Yes,272.9,13,Medium,No,Large
260,3411,2752.1,1993.72,806.83,715546,Peaty,No,448.3,9.54,Medium,Yes,Large
187.2,4082,2279.23,1379.74,558.36,426671.86,Clay,No,335.13,10.94,Medium,Yes,Large
156,1773,1485.65,2070.57,837.93,231761.4,Sandy,Yes,314.88,17.28,High,No,Small
312,3234,2221.08,1697.09,686.79,692976.96,Silty,No,475.92,13.99,Medium,Yes,Small
260,3256,2804.56,2128.44,861.35,729185.6,Clay,No,484.17,9.94,Medium,Yes,Large
260,3306,2534.21,1894.18,766.55,658894.6,Clay,No,392.03,13.99,Low,Yes,Medium
176.8,2389,2310.45,2389.8,967.12,408487.56,Loamy,No,531.19,17.14,Medium,No,Small
197.6,4131,1883.86,1126.87,456.03,372250.74,Sandy,Yes,494.49,11.91,High,No,Large
166.4,1846,781.28,1045.82,423.23,130004.99,Silty,Yes,438.82,14.76,High,No,Small
197.6,4168,1710.63,1014.17,410.42,338020.49,Peaty,No,407.33,8.99,High,No,Small
520,2664,1002.12,929.53,376.17,521102.4,Loamy,Yes,267.07,12.32,Low,Yes,Large
260,3474,1963.92,1396.93,565.32,510619.2,Peaty,No,430.66,12.66,Low,No,Large
260,3986,2670.58,1655.58,669.99,694350.8,Peaty,Yes,368.62,12.48,High,No,Small
176.8,2667,817.94,757.85,306.69,144611.79,Sandy,Yes,610.13,11.09,Low,No,Medium
187.2,4490,592.46,326.06,131.95,110908.51,Clay,Yes,379.15,10.27,Medium,No,Small
156,1637,1441.21,2175.51,880.4,224828.76,Sandy,No,392.7,14.72,Medium,No,Large
260,2521,689.64,675.98,273.56,179306.4,Sandy,Yes,292,13.34,Low,Yes,Large
187.2,4585,2241.19,1207.87,488.81,419550.77,Peaty,Yes,417.45,15.17,Medium,Yes,Large
520,3125,2832.66,2239.88,906.45,1472983.2,Loamy,Yes,510.39,12.55,Low,No,Large
416,1758,139.06,195.46,79.1,57848.96,Sandy,Yes,348.88,12.83,Medium,No,Small
166.4,1867,1735.73,2297.31,929.69,288825.47,Clay,Yes,384.85,16.82,Medium,Yes,Medium
312,3372,1215.5,890.74,360.47,379236,Loamy,No,519.74,16.37,Medium,Yes,Small
416,1834,1543.79,2080.03,841.76,642216.64,Silty,No,366.96,11.63,Medium,Yes,Medium
416,1069,945.13,2184.73,884.13,393174.08,Loamy,No,286.12,16.19,High,Yes,Large
156,2201,1461.29,1640.58,663.92,227961.24,Silty,Yes,445.95,13.01,Medium,Yes,Large
166.4,1875,1068.69,1408.42,569.97,177830.02,Sandy,No,378.35,15.76,Medium,No,Small
312,2816,1625.82,1426.66,577.35,507255.84,Sandy,Yes,610.41,10.83,Low,No,Small
260,3259,2176.72,1650.44,667.91,565947.2,Loamy,Yes,425.01,10.65,High,No,Small
156,1640,129.64,195.34,79.05,20223.84,Silty,No,136.57,11.31,High,No,Large
156,1679,1399.45,2059.62,833.5,218314.2,Sandy,Yes,387.94,11.08,Low,Yes,Small
156,1402,1229.79,2167.53,877.17,191847.24,Sandy,No,672.09,6.69,High,Yes,Large
176.8,2905,219.85,187.01,75.68,38869.48,Silty,No,382.35,13.24,High,No,Small
197.6,3678,2389.34,1605.27,649.63,472133.58,Clay,No,428.02,9.78,Medium,No,Large
520,3779,2544.25,1663.66,673.26,1323010,Sandy,No,416.81,10.99,Medium,Yes,Large
312,2616,2248.48,2123.89,859.51,701525.76,Silty,Yes,422.03,13.06,High,No,Large
187.2,3559,2893.29,2008.84,812.95,541623.89,Loamy,Yes,297.58,14.05,High,No,Large
312,2220,746.36,830.77,336.2,232864.32,Sandy,Yes,270.64,10.02,Medium,No,Small
260,3948,2156.83,1349.96,546.31,560775.8,Loamy,Yes,307.98,13.85,High,Yes,Medium
166.4,2098,435.69,513.16,207.67,72498.82,Clay,No,366.39,9.4,Medium,Yes,Large
416,1172,920.41,1940.59,785.33,382890.56,Clay,Yes,221.61,15.32,Low,No,Medium
156,1915,1244.9,1606.38,650.08,194204.4,Silty,No,422.85,13.37,Medium,Yes,Medium
187.2,5775,5718.64,2446.93,990.24,1070529.41,Silty,Yes,396,9.08,Medium,Yes,Large
312,2701,1649.72,1509.27,610.78,514712.64,Loamy,No,482.84,11.92,Low,No,Small
312,3485,2854.25,2023.81,819.01,890526,Loamy,Yes,524.36,10.44,Medium,Yes,Large
197.6,3312,564.86,421.44,170.55,111616.34,Silty,Yes,327,13.43,High,Yes,Small
187.2,3849,506.3,325.04,131.54,94779.36,Loamy,No,644.58,10.34,Medium,Yes,Medium
260,4184,3236.91,1911.7,773.64,841596.6,Loamy,Yes,399.65,15.86,Medium,Yes,Small
260,4491,4371.4,2405.25,973.37,1136564,Sandy,No,563.15,10.32,Low,Yes,Large
208,2371,226.55,236.11,95.55,47122.4,Clay,Yes,429.63,7.07,Low,No,Large
312,2578,472.24,452.65,183.18,147338.88,Silty,Yes,379.81,8.31,Medium,No,Medium
187.2,5083,4689.47,2279.74,922.58,877868.78,Silty,No,343.44,15.08,Medium,Yes,Small
156,1867,1379.54,1825.88,738.91,215208.24,Sandy,No,357.88,13.36,High,No,Small
520,2944,2583.65,2168.59,877.6,1343498,Loamy,Yes,307.01,13.73,High,No,Large
520,3252,3251.71,2470.83,999.91,1690889.2,Loamy,Yes,329.06,14.49,Low,Yes,Small
156,2213,411.97,460.01,186.16,64267.32,Silty,Yes,418.5,13.16,Low,Yes,Small
520,3510,2794.59,1967.4,796.18,1453186.8,Loamy,Yes,627.37,13.18,Medium,No,Medium
